sep=	
2.599481140920369970e-01	-1.978524071022483566e-01
-1.948273232160963042e-02	-6.498896810977993210e-01
-8.359773111711668592e-02	3.860842315329749419e-01
-5.392191296025896641e-01	-1.724677631654489562e-01
-1.621124901495939186e-02	-8.946093015671294224e-02
-7.673643995195825879e-03	4.925087527339219728e-02
-1.767909434133955321e-02	2.064989116917252121e-01
-3.785298216864700915e-01	4.859746669925137375e-01
-4.563020112499062420e-02	8.201879935040980174e-02
5.721733279983446524e-02	-4.036979582741102857e-02
-3.251617647816273937e-01	3.105840763827045770e-01
1.092883877852552643e-01	-1.255663168035013044e-01
-8.765459116941586026e-02	4.742157169882549317e-02
-2.318685002782484850e-01	-2.293811107790088566e-01
-6.428256940620331594e-01	-3.317549491083885416e-01
2.192984505632858405e-01	-1.952807355156382929e-01
-3.926311756220215998e-01	4.566814488686639639e-01
6.921909154342162362e-02	-6.084338931514422788e-03
-3.859674259404829999e-02	3.672739475793341257e-01
-1.257894373054484760e-01	-4.448100159504378426e-01
-7.244122878910488894e-02	-9.090278499507795096e-02
-4.856722947323175998e-01	-3.992790120938678744e-02
5.945945036332589417e-01	3.232760616845108126e-02
4.514630099791131501e-01	-9.159528877374133182e-02
-1.202033874749499631e-01	-2.232066829443896949e-01
6.407866303500016070e-01	-4.356043727679514976e-01
3.517634952662615500e-01	5.392852729697250602e-01
-2.164838091448852142e-01	-4.389544379750897063e-01
2.388789634813293650e-01	2.249107276755598073e-01
2.153272018049802450e-02	5.893758899106942284e-01
-1.171263493437294245e-01	-3.187545167611122721e-01
-2.198227599905639429e-01	-3.673381672439937073e-01
2.500710145011789676e-01	5.257697344179876886e-01
-2.708522086753335500e-01	3.134230043163145352e-01
9.081240261693832028e-02	-3.746519984988901375e-01
3.311398896381578250e-01	-2.257308249991096805e-02
3.911005068266792395e-01	-1.819972439732449876e-01
-5.696044632273125630e-02	2.719717449876207782e-01
1.762061241592566829e-01	2.979471728556681298e-01
1.762368401993439360e-01	2.312959068351073399e-01
3.081786174416221158e-01	5.339475160511630847e-01
-5.018645297911135117e-01	2.201368144857853426e-01
-4.789357377274571226e-01	-4.061754201013142440e-01
-7.620378642861743712e-01	-5.965888635638704196e-01
-5.604249975343469359e-01	-5.373762400618244950e-01
-3.272059643275873619e-01	1.837046647781197251e-01
-4.350177424396503567e-02	-3.423568361361166712e-01
6.166154165513708652e-01	-6.480743407668595468e-01
6.741812117239714963e-02	-2.237742848573751053e-01
8.370375664094944490e-01	-1.122384599603535454e-02
3.476409522803431962e-01	3.613848304793473298e-01
-3.145806478977324350e-01	3.381230292849762842e-02
-2.762890695585173417e-01	3.676551436316422006e-02
-5.824681547983532326e-01	4.821635244800340780e-01
-3.242433989784888060e-01	1.249454946176673242e-01
-9.489978909485226044e-01	3.787137945701214981e-01
-2.061932461780161541e-01	-1.661340438287521870e-01
-4.015183646412350260e-01	-1.077727432120281215e+00
7.803178960288442712e-01	-6.229134433273109117e-01
2.901524604677815922e-01	-3.089134137668182456e-01
-4.461242705400048081e-02	1.831404289820689479e-01
5.138779906982635648e-01	2.672780705437360904e-01
4.103148847891673889e-01	8.265394724615415800e-01
-2.272455061358519268e-02	6.387359768237514945e-01
-3.939954806903002149e-01	-3.154705766139621614e-01
-3.944611142186442709e-01	1.711385823186439559e-01
-8.070646848096008075e-01	-5.886139084620312101e-01
-1.365050151016415025e+00	-3.433454428671607328e-01
-8.064215661607576635e-01	-9.832680270902327546e-01
-3.062324808631233797e-01	-3.652095134491584738e-01
7.904306505000600058e-01	-4.349036093986538565e-01
9.721342940229689145e-01	-3.691712701108720851e-01
1.245193524892323600e+00	4.694706470845868562e-01
1.773831963985488702e+00	-2.124761557436538884e-01
3.513300511981717889e-01	-3.406043555873608519e-03
-7.325676044739654058e-02	2.646711521445223592e-01
-5.566744548030717610e-01	7.083582123301140898e-01
-1.227728109010396640e+00	5.296023360336724606e-01
-8.116454382710008852e-01	3.111047480175528901e-01
-5.416884112176841848e-01	4.941752203317481551e-02
-1.109429580317037589e-01	-6.712223470314329088e-01
6.387770502366161285e-01	-5.605203848629075614e-01
2.314564927981087317e-01	-1.091322702648061860e+00
4.637881254026867683e-01	-9.948345689503290679e-01
9.358200166586005952e-03	-4.786328090123297962e-01
-2.195262423670371887e-01	2.188259710288502358e-01
1.537626431201373489e-01	3.417038474341536070e-01
5.167104886226409066e-01	6.650432873494638297e-01
-1.541322833077121146e-01	4.426769706484247058e-01
1.745442533778789607e-01	1.832680671442545595e-01
-6.775632362574670609e-01	-3.012950143998756602e-01
-4.285927421808233273e-01	-1.704656429446823052e-01
-7.865690255842225365e-02	-7.225078259815342907e-01
-2.822010041943648906e-01	-6.422318814245513430e-01
1.524479634870198608e-01	-4.335649192782948247e-01
-4.681448613840893946e-02	-5.095612530867923984e-02
3.913639776183841512e-02	2.357087952965537525e-01
2.525314222529992381e-01	3.927673941692310100e-01
2.857372673168563360e-01	-5.127443804882907408e-01
-5.835173044674218934e-01	-1.940579898429121430e-01
5.782973813536682051e-02	7.453342730847405118e-02
-1.638396021781411971e-01	-3.408156479907241410e-02
-8.637015253383642510e-02	-2.141551945107793564e-01
1.320905381327167893e-01	2.574429914668786845e-02
-1.825261931139064708e-01	2.495965853745623630e-01
-4.295325655866901182e-01	-3.712805814407973970e-02
8.905983391224900347e-02	1.901308395580436073e-01
2.942682833358286620e-01	-3.394377462331980566e-01
-1.708314378564249336e-01	-3.394538662982109489e-01
-3.879079145002836126e-01	9.844899434764942114e-01
-3.097750277395416862e-01	-1.086086716597304824e-01
-1.181290564491676298e-01	4.315953797215936749e-01
-5.980454507554724408e-01	3.994458622542698678e-01
-2.613785815113591759e-01	-2.069154018429624486e-01
-9.142500568164622921e-02	-1.634470371736953045e-02
1.276742444211829142e-01	-6.557959494172319048e-02
-1.273584130352049260e-01	1.738040788599219399e-01
3.327922956261288867e-01	1.356880855982620648e-01
7.136698406172152787e-01	1.234059884922708017e-01
1.213768423165603738e-03	-1.868368128800135808e-01
3.139604106989016263e-01	-1.543836185294769625e-02
4.341411622220900379e-01	-1.316344541720498307e-01
-8.077647208091191799e-02	2.521671372044630988e-01
-2.614317566263838488e-01	4.927935675185933784e-01
2.442471422873498110e-01	-2.273818499695841322e-02
6.610036716654810185e-02	-4.617098251815081045e-01
-8.046021807205057386e-02	-5.896974087243036511e-01
-4.056767783212861800e-01	3.360243280316679293e-01
-4.439248464011536499e-01	-2.643710704918606491e-01
4.210043249374061380e-01	9.704954110096122855e-02
4.025177700419847460e-01	-4.589776474887014568e-01
-1.384481520722615211e-01	-6.682582581815948997e-02
-3.644076691032975823e-01	8.529421401345509135e-02
2.692396456366650051e-02	2.022888145962899176e-01
-4.120351140164368875e-01	-3.646393472356773691e-01
1.404721485495712407e-01	-7.034343690199210131e-02
-4.034925519751784151e-01	9.362155550495628031e-02
5.227782702560202638e-02	-2.931656966285703936e-01
-4.631722786830549388e-01	5.114570157136398842e-01
-7.753538017575917207e-02	-1.099704445576211581e-01
5.288038020285745766e-01	-1.511222893076171192e-01
5.078617168513063079e-02	1.871730074181891523e-01
1.695563369756803163e-01	-3.380570889609696983e-01
2.218658081204163968e-02	-2.154008483117745842e-01
7.623030023437393776e-03	8.092231631288113181e-02
-5.194796390907923112e-01	-1.738118107675116347e-02
9.193313144453678365e-02	-1.446901230179385711e-01
4.555013316858149697e-01	-2.213752660757668245e-01
-4.385042224476742301e-01	-1.206148851140526890e-01
3.122584685920222203e-01	-8.852747746653115424e-03
3.587528747146020991e-01	3.936682757360807638e-01
4.399615698700279354e-02	-7.472071860918092293e-03
-1.236465976661950406e-01	-1.673593351588993916e-01
1.244387190067943183e-01	1.334955435044047067e-01
1.060399791363897670e-01	-1.540554485842853816e-01
-4.343452376920653446e-01	2.827234757208493821e-01
-2.827168349948180892e-01	-2.955344709382888291e-01
3.520528918762627080e-01	2.332986523461757500e-01
-1.049838522409729108e-01	-4.572532164130813787e-04
3.291716655999991081e-01	-1.058573093891199551e-01
-2.426115801419365392e-01	-4.228039938250186536e-01
-3.658049577574341571e-01	3.754592303841921552e-01
-7.618790697609677254e-02	2.131563841513492950e-03
-4.518748923267402184e-01	2.199328268181287016e-01
-5.522947227974915885e-01	-3.785676782262821227e-01
-5.196243735913123052e-01	1.674794140694971234e-02
-1.074226777061413340e-01	3.057758637059076468e-01
2.797131998427581090e-01	-6.303997209890124798e-03
-4.903601800907305130e-01	2.438340490119945414e-01
2.576080047973729470e-01	-3.572848875464362250e-01
-1.208827031085346615e-01	-3.882637621588960197e-01
7.061290900423163042e-02	-3.217358179372779847e-02
-4.626504893841382193e-01	4.181899264386323978e-01
-6.651772178589697437e-02	-3.040115439010527831e-01
-1.842015617942468209e-01	6.116583029301343732e-02
3.274391389296600896e-01	4.265094188073463854e-01
-4.002267889781578325e-01	-2.956844418016223996e-01
4.800422686480013135e-02	1.519844383618617067e-01
-1.606758862335774529e-01	-4.013626424952022043e-01
-2.485872470072044704e-01	-1.268309960620076782e-01
-5.292925385482905032e-01	1.281327679064722391e-01
-7.475985827185307464e-01	-4.076332126395558753e-01
-3.164966994280821178e-01	-1.038654160086648764e-03
1.191376589369805977e-01	-2.459131554999326175e-02
2.723425161928900162e-01	2.968802464907843164e-01
-2.440729146875802447e-01	-3.201226074505043040e-01
1.359678838462820560e-01	1.236834829218968340e-02
1.125597886440612427e-01	6.365014455945597338e-02
-5.602908804366108636e-02	1.229654835511800742e-01
-3.727479437120445604e-01	9.935547014189695381e-02
-5.981768787590621694e-02	-9.185967465457027525e-02
2.966240101943855012e-01	-4.179673491364660487e-01
1.404643695171793050e-01	-8.684865751177782422e-02
-2.811021485661270858e-01	-2.051990220045007141e-01
3.076450672647057516e-01	1.233148771317977010e-01
8.550089032614291429e-02	-2.813449354279735082e-01
3.637729796468583965e-01	-2.332760845881730605e-01
-3.331269562458642475e-01	1.308286560978173807e-01
-4.833970022013539536e-02	-3.022743764204147490e-02
4.748089240886373130e-02	4.527127492259577779e-01
3.119148768768881252e-01	-1.143387471144693135e-01
-5.122030254501733909e-02	5.474438158192835857e-01
1.344111062939757073e-01	-2.324945438769755041e-02
-5.489410333808494302e-01	2.570263936426070428e-01
-2.038562517370150207e-02	-3.638312383890983104e-01
-6.424288779996190080e-01	4.779541862426520682e-01
2.204915539474575081e-02	-2.018865225071967209e-02
-3.345484366417255662e-01	-4.393208007171203189e-01
-4.212037734536811517e-01	5.209184078684121061e-02
3.741205903283369993e-01	2.178265158084397857e-01
3.257465791037217340e-01	3.572945210847319752e-01
-4.731168906208521596e-01	-3.335558096010077800e-01
-5.785744246589216155e-01	8.691058351421375450e-02
-1.570961435806096651e-01	4.312755097841575180e-01
8.166630351556344869e-02	1.160296788376933563e-01
